Holding,Security Description,Market Value,% of Fund,Security No.
"155,000.000",SOLID STATE PLC COMMON STOCK GBP 5,"2,015,000.00",0.78%,0823713
"400,000.000",WORKSPACE GROUP PLC REIT GBP 1,"2,008,000.00",0.77%,B67G5X0
"690,000.000",CHEMRING GROUP PLC COMMON STOCK GBP 1,"1,994,100.00",0.77%,B45C9X4
"345,000.000",MORTGAGE ADVICE BUREAU HOLDINGS LTD COMMON STOCK GBP 0.1,"1,863,000.00",0.72%,BQSBH50
"227,000.000",FUTURE PLC COMMON STOCK GBP 15,"1,761,520.00",0.68%,BYZN904
"850,000.000",CENTRAL ASIA METALS PLC COMMON STOCK GBP,"1,696,600.00",0.65%,B67KBV2
"500,000.000",TEAM17 GROUP PLC COMMON STOCK GBP 0.01,"1,660,000.00",0.64%,BYVX2X2
"1,515,000.000",MACFARLANE GROUP PLC COMMON STOCK GBP 25,"1,598,325.00",0.62%,0551887
"2,045,000.000",LEARNING TECHNOLOGIES GROUP PLC COMMON STOCK GBP,"1,566,470.00",0.60%,B4T7HX1
"85,000.000",INDIVIOR PLC COMMON STOCK USD 0.5,"1,546,150.00",0.60%,BN4HT33
"68,000.000",COMPUTACENTER PLC COMMON STOCK GBP 7.5555,"1,482,400.00",0.57%,BV9FP30
"1,192,697.000",M&C SAATCHI PLC COMMON STOCK GBP 1,"1,461,053.83",0.56%,B01F7T1
"90,000.000",TELECOM PLUS PLC COMMON STOCK GBP 5,"1,429,200.00",0.55%,0879471
"570,000.000",PALACE CAPITAL PLC REIT GBP 10,"1,407,900.00",0.54%,BF5SGF0
"755,000.000",FONIX MOBILE PLC COMMON STOCK GBP,"1,396,750.00",0.54%,BN78966
"330,000.000",SCIENCE GROUP PLC COMMON STOCK GBP 1,"1,386,000.00",0.53%,B39GTJ1
"1,180,000.000",SDI GROUP PLC COMMON STOCK GBP 1,"1,368,800.00",0.53%,B3FBWW4
"395,000.000",ALPHA FINANCIAL MARKETS CONSULTING PLC COMMON STOCK GBP 0.075,"1,362,750.00",0.53%,BF16C05
"1,500,000.000",RANK GROUP PLC COMMON STOCK GBP 13.88889,"1,260,000.00",0.49%,B1L5QH9
"1,190,000.000",VANQUIS BANKING GROUP PLC COMMON STOCK GBP 20.72727,"1,232,840.00",0.47%,B1Z4ST8
"1,750,000.000",VERTU MOTORS PLC COMMON STOCK GBP 10,"1,219,750.00",0.47%,B1GK464
"265,000.000",HARGREAVES SERVICES PLC COMMON STOCK GBP 10,"1,205,750.00",0.46%,B0MTC97
"6,600,000.000",HVIVO PLC COMMON STOCK GBP,"1,188,000.00",0.46%,B9275X9
"105,000.000",CARNIVAL PLC COMMON STOCK GBP 1.66,"1,179,675.00",0.45%,3121522
"867,000.000",CALNEX SOLUTIONS PLC COMMON STOCK GBP,"1,075,080.00",0.41%,BMBK701
"383,721.000",CAB PAYMENTS HOLDINGS PLC COMMON STOCK GBP 0.033,"1,043,721.12",0.40%,BMCYKB4
"860,000.000",URBAN LOGISTICS REIT PLC REIT GBP 1,"1,009,640.00",0.39%,BYV8MN7
"345,000.000",KITWAVE GROUP PLC COMMON STOCK GBP,"1,003,950.00",0.39%,BNYKB70
"240,000.000",AVINGTRANS PLC COMMON STOCK GBP 5,"912,000.00",0.35%,0918879
"375,000.000",BRAEMAR PLC COMMON STOCK GBP 10,"873,750.00",0.34%,0060093
"755,000.000",SANDERSON DESIGN GROUP PLC COMMON STOCK GBP 1,"755,000.00",0.29%,0306151
"66,944.000",H&T GROUP PLC COMMON STOCK GBP 5,"270,453.76",0.10%,B12RQD0

