Holding,Security Description,Market Value,% of Fund,Security No.
"200,614.000",SOLID STATE PLC COMMON STOCK GBP 5,"2,246,876.80",0.85%,0823713
"287,533.000",MORTGAGE ADVICE BUREAU HOLDINGS LTD COMMON STOCK GBP 0.1,"2,242,757.40",0.84%,BQSBH50
"335,000.000",KELLER GROUP PLC COMMON STOCK GBP 10,"2,237,800.00",0.84%,0486622
"145,000.000",INDIVIOR PLC COMMON STOCK USD 0.5,"2,209,800.00",0.83%,BN4HT33
"450,000.000",POLAR CAPITAL HOLDINGS PLC COMMON STOCK GBP 2.5,"2,200,500.00",0.83%,B1GCLT2
"1,010,000.000",WARPAINT LONDON PLC COMMON STOCK GBP 25,"2,171,500.00",0.82%,BYMF367
"1,952,549.000",CARD FACTORY PLC COMMON STOCK GBP,"2,139,993.70",0.81%,BLY2F70
"745,000.000",CHEMRING GROUP PLC COMMON STOCK GBP 1,"2,115,800.00",0.80%,B45C9X4
"1,017,242.000",CENTRAL ASIA METALS PLC COMMON STOCK GBP,"2,090,432.31",0.79%,B67KBV2
"300,000.000",ACCESSO TECHNOLOGY GROUP PLC COMMON STOCK GBP 1,"2,043,000.00",0.77%,0177142
"1,192,697.000",M&C SAATCHI PLC COMMON STOCK GBP 1,"1,973,913.54",0.74%,B01F7T1
"1,780,737.000",CALNEX SOLUTIONS PLC COMMON STOCK GBP,"1,958,810.70",0.74%,BMBK701
"1,410,000.000",CLS HOLDINGS PLC REIT GBP 2.5,"1,903,500.00",0.72%,BF04459
"19,000.000",GAMES WORKSHOP GROUP PLC COMMON STOCK GBP 5,"1,883,850.00",0.71%,0371847
"500,000.000",TEAM17 GROUP PLC COMMON STOCK GBP 0.01,"1,800,000.00",0.68%,BYVX2X2
"3,645,134.000",NIOX GROUP PLC COMMON STOCK GBP 0.08,"1,640,310.30",0.62%,BJVD3B2
"1,025,000.000",XPS PENSIONS GROUP PLC COMMON STOCK GBP 0.05,"1,614,375.00",0.61%,BDDN1T2
"68,000.000",COMPUTACENTER PLC COMMON STOCK GBP 7.5555,"1,559,920.00",0.59%,BV9FP30
"755,000.000",FONIX MOBILE PLC COMMON STOCK GBP,"1,472,250.00",0.55%,BN78966
"900,000.000",ZOO DIGITAL GROUP PLC COMMON STOCK GBP 1,"1,440,000.00",0.54%,B1FQDL1
"165,000.000",LIONTRUST ASSET MANAGEMENT PLC COMMON STOCK GBP 1,"1,419,000.00",0.53%,0738840
"635,000.000",PALACE CAPITAL PLC REIT GBP 10,"1,384,300.00",0.52%,BF5SGF0
"1,276,318.000",MACFARLANE GROUP PLC COMMON STOCK GBP 25,"1,346,515.49",0.51%,0551887
"330,000.000",SCIENCE GROUP PLC COMMON STOCK GBP 1,"1,333,200.00",0.50%,B39GTJ1
"700,000.000",CMC MARKETS PLC COMMON STOCK GBP 25,"1,285,200.00",0.48%,B14SKR3
"495,000.000",VOLEX PLC COMMON STOCK GBP 25,"1,257,300.00",0.47%,0939007
"775,000.000",URBAN LOGISTICS REIT PLC REIT GBP 1,"1,092,750.00",0.41%,BYV8MN7
"265,000.000",HARGREAVES SERVICES PLC COMMON STOCK GBP 10,"1,073,250.00",0.40%,B0MTC97
"375,000.000",BRAEMAR PLC COMMON STOCK GBP 10,"1,042,500.00",0.39%,0060093
"1,750,000.000",VERTU MOTORS PLC COMMON STOCK GBP 10,"1,009,750.00",0.38%,B1GK464
"240,000.000",AVINGTRANS PLC COMMON STOCK GBP 5,"984,000.00",0.37%,0918879
"1,890,000.000",JADESTONE ENERGY PLC,"982,800.00",0.37%,BLR7129
"302,453.000",SOMERO ENTERPRISES INC COMMON STOCK GBP 0.001,"967,849.60",0.36%,B1GCQ97
"755,000.000",SANDERSON DESIGN GROUP PLC COMMON STOCK GBP 1,"928,650.00",0.35%,0306151
"385,000.000",NORCROS PLC COMMON STOCK GBP 10,"712,250.00",0.27%,BYYJL41
"972,889.000",TINYBUILD INC COMMON STOCK GBP 0.001,"515,631.17",0.19%,BN33QG4
"191,878.000",WINCANTON PLC COMMON STOCK GBP 10,"411,578.31",0.15%,3032936
"415,207.000",RANK GROUP PLC COMMON STOCK GBP 13.88889,"398,598.72",0.15%,B1L5QH9

